Ensembl Gene ID	Gene ID	
ENSG00000116014	84634	
ENSG00000116191	55103	
ENSG00000116584	9181	
ENSG00000116703	5132	
ENSG00000116729	79971	
ENSG00000116752	10286	
ENSG00000116918	7257	
ENSG00000117139	10765	
ENSG00000117245	57576	
ENSG00000117505	1810	
ENSG00000118058	4297	
ENSG00000118245	7141	
ENSG00000118307	55259	
ENSG00000118407	27145	
ENSG00000118434	81833	
ENSG00000118894	196483	
ENSG00000119397	11064	
ENSG00000119596	56252	
ENSG00000119640	97	
ENSG00000119650	112752	
ENSG00000119965	80007	
ENSG00000119969	3070	
ENSG00000120053	2805	
ENSG00000120156	7010	
ENSG00000120160	54586	
ENSG00000120210	11172	
ENSG00000120438	6950	
ENSG00000120498	56159	
ENSG00000120662	9617	
ENSG00000120949	943	
ENSG00000121058	8161	
ENSG00000121152	23397	
ENSG00000121380	79370	
ENSG00000121570	55211	
ENSG00000121653	9479	
ENSG00000121764	3061	
ENSG00000122304	5620	
ENSG00000122512	5395	
ENSG00000122545	989	
ENSG00000122574	644150	
ENSG00000122591	84668	
ENSG00000122692	55234	
ENSG00000122735	27019	
ENSG00000123165	139741	
ENSG00000123358	3164	
ENSG00000123505	262	
ENSG00000123570	51209	
ENSG00000123576	80712	
ENSG00000123636	29994	
ENSG00000123843	725	
ENSG00000124092	140690	
ENSG00000124151	8202	
ENSG00000124196	149699	
ENSG00000124198	10564	
ENSG00000124207	1434	
ENSG00000124212	5740	
ENSG00000124226	55905	
ENSG00000124251	27296	
ENSG00000124275	4552	
ENSG00000124334	3581	
ENSG00000124406	10396	
ENSG00000124449	56269	
ENSG00000124490	7180	
ENSG00000124496	55809	
ENSG00000124588	4835	
ENSG00000124596	221443	
ENSG00000124610	3024	
ENSG00000124678	6954	
ENSG00000124733	4201	
ENSG00000124784	83732	
ENSG00000125207	9271	
ENSG00000125266	1948	
ENSG00000125347	3659	
ENSG00000125386	8603	
ENSG00000125388	2868	
ENSG00000125450	79902	
ENSG00000125730	718	
ENSG00000125779	80025	
ENSG00000125878	6939	
ENSG00000125888	140836	
ENSG00000125900	128646	
ENSG00000125962	64860	
ENSG00000125966	10893	
ENSG00000125971	83658	
ENSG00000126226	55795	
ENSG00000126456	3661	
ENSG00000126467	60385	
ENSG00000126581	8678	
ENSG00000126752	6756	
ENSG00000126787	9787	
ENSG00000126803	3306	
ENSG00000126890	30848	
ENSG00000127080	64768	
ENSG00000128040	6691	
ENSG00000128253	10739	
ENSG00000128283	11135	
ENSG00000128322	3543	
ENSG00000128564	7425	
ENSG00000128596	64753	
ENSG00000128607	23008	
ENSG00000128641	4430	
ENSG00000128872	29767	
ENSG00000128944	90417	
ENSG00000129355	1032	
ENSG00000129484	10038	
ENSG00000129680	79649	
ENSG00000129862	353513	
ENSG00000129864	9084	
ENSG00000129873	203611	
ENSG00000130021	8226	
ENSG00000130023	55780	
ENSG00000130035	26290	
ENSG00000130066	6303	
ENSG00000130244	147965	
ENSG00000130312	64981	
ENSG00000130377	81616	
ENSG00000130518	80726	
ENSG00000130695	64793	
ENSG00000130734	84971	
ENSG00000130803	57693	
ENSG00000130816	1786	
ENSG00000130943	10343	
ENSG00000131059	128861	
ENSG00000131126	83639	
ENSG00000131152	-	
ENSG00000131373	26061	
ENSG00000131462	7283	
ENSG00000131470	29893	
ENSG00000131721	84528	
ENSG00000131725	54521	
ENSG00000132016	79173	
ENSG00000132141	10693	
ENSG00000132467	57050	
ENSG00000132664	10621	
ENSG00000132703	325	
ENSG00000132911	56923	
ENSG00000132972	56163	
ENSG00000133069	9911	
ENSG00000133250	84330	
ENSG00000133328	54979	
ENSG00000133477	113828	
ENSG00000133731	3612	
ENSG00000133818	22800	
ENSG00000134007	8748	
ENSG00000134152	79768	
ENSG00000134330	285148	
ENSG00000134480	902	
ENSG00000134571	4607	
ENSG00000134627	143689	
ENSG00000134668	90853	
ENSG00000134882	337867	
ENSG00000134897	54841	
ENSG00000134940	56	
ENSG00000134987	134430	
ENSG00000135045	55071	
ENSG00000135148	10906	
ENSG00000135472	23017	
ENSG00000135823	10228	
ENSG00000136108	26586	
ENSG00000136206	285955	
ENSG00000136261	28969	
ENSG00000136280	83605	
ENSG00000136451	7716	
ENSG00000136504	11143	
ENSG00000136628	2058	
ENSG00000136732	2995	
ENSG00000136738	8027	
ENSG00000136908	8818	
ENSG00000136929	55363	
ENSG00000137055	9373	
ENSG00000137090	1761	
ENSG00000137098	26206	
ENSG00000137225	11131	
ENSG00000137251	27283	
ENSG00000137285	347733	
ENSG00000137413	129685	
ENSG00000137500	60492	
ENSG00000137713	5519	
ENSG00000137764	5607	
ENSG00000137812	57082	
ENSG00000137876	51187	
ENSG00000137948	676	
ENSG00000137960	54810	
ENSG00000138100	57159	
ENSG00000138378	6775	
ENSG00000138617	54956	
ENSG00000138646	51191	
ENSG00000138650	57575	
ENSG00000138660	55435	
ENSG00000138709	55132	
ENSG00000139112	23710	
ENSG00000139154	121536	
ENSG00000139178	51279	
ENSG00000139351	50511	
ENSG00000139637	60314	
ENSG00000139874	6751	
ENSG00000139973	83851	
ENSG00000140067	90050	
ENSG00000140274	405753	
ENSG00000140386	49855	
ENSG00000140395	80349	
ENSG00000140478	653643	
ENSG00000140525	55215	
ENSG00000140600	6457	
ENSG00000140859	3801	
ENSG00000140992	5170	
ENSG00000141096	64180	
ENSG00000141127	5636	
ENSG00000141298	85464	
ENSG00000141316	124912	
ENSG00000141371	124773	
ENSG00000141380	6760	
ENSG00000141458	4864	
ENSG00000142168	6647	
ENSG00000142230	10055	
ENSG00000142583	6518	
ENSG00000142609	85452	
ENSG00000142731	10733	
ENSG00000142945	11004	
ENSG00000143006	63948	
ENSG00000143341	83872	
ENSG00000143398	8394	
ENSG00000143443	54964	
ENSG00000143452	84072	
ENSG00000143552	91181	
ENSG00000143554	11000	
ENSG00000143595	89872	
ENSG00000143702	645455; 9859	
ENSG00000143751	163859	
ENSG00000143845	55224	
ENSG00000143995	4211	
ENSG00000144355	1745	
ENSG00000144554	2177	
ENSG00000144567	79137	
ENSG00000144635	51143	
ENSG00000144712	23066	
ENSG00000144741	115286	
ENSG00000144744	9039	
ENSG00000144868	66000	
ENSG00000145002	653333	
ENSG00000145217	10861	
ENSG00000145220	55646	
ENSG00000145309	85438	
ENSG00000145388	57721	
ENSG00000145708	1393	
ENSG00000145757	83890	
ENSG00000146047	255626	
ENSG00000146049	353219	
ENSG00000146278	10957	
ENSG00000146535	2768	
ENSG00000146826	55262	
ENSG00000146909	64434	
ENSG00000147081	8852	
ENSG00000147174	93953	
ENSG00000147180	7552	
ENSG00000147381	4103	
ENSG00000147400	1069	
ENSG00000147889	1029	
ENSG00000148057	414328	
ENSG00000148156	10880	
ENSG00000148204	286204	
ENSG00000148688	10556	
ENSG00000148798	9118	
ENSG00000148848	8038	
ENSG00000148965	6291	
ENSG00000149100	10480	
ENSG00000149292	54970	
ENSG00000149313	60496	
ENSG00000149507	219990	
ENSG00000149527	9651	
ENSG00000149547	9538	
ENSG00000149609	128864	
ENSG00000149657	149986	
ENSG00000149929	8479	
ENSG00000149948	8091	
ENSG00000150054	143098	
ENSG00000150457	26524	
ENSG00000150768	1737	
ENSG00000150783	56158	
ENSG00000150967	23457	
ENSG00000151287	93081	
ENSG00000151470	132321	
ENSG00000151704	3758	
ENSG00000151846	5042	
ENSG00000151883	79668	
ENSG00000152192	5457	
ENSG00000152193	79596	
ENSG00000152208	2895	
ENSG00000152253	57405	
ENSG00000152430	66037	
ENSG00000152455	79723	
ENSG00000152463	55301	
ENSG00000152611	133690	
ENSG00000152670	54514	
ENSG00000152749	160897	
ENSG00000152942	5884	
ENSG00000153048	23589	
ENSG00000153132	1047	
ENSG00000153347	153643	
ENSG00000153498	122258	
ENSG00000153707	5789	
ENSG00000153779	90316	
ENSG00000153933	8526	
ENSG00000154040	26256	
ENSG00000154059	55364	
ENSG00000154099	123872	
ENSG00000154227	204219	
ENSG00000154305	375056	
ENSG00000154415	5506	
ENSG00000154438	136991	
ENSG00000154493	118611	
ENSG00000154645	140578	
ENSG00000154743	80746	
ENSG00000154803	201163	
ENSG00000154917	51560	
ENSG00000154928	2047	
ENSG00000155026	222967	
ENSG00000155087	4956	
ENSG00000155111	23097	
ENSG00000155307	388813; 64092	
ENSG00000155495	9947	
ENSG00000155659	11326	
ENSG00000155729	130535	
ENSG00000155975	137492	
ENSG00000156009	4107	
ENSG00000156113	3778	
ENSG00000156219	419	
ENSG00000156269	84779	
ENSG00000156802	29028	
ENSG00000157060	81626	
ENSG00000157064	23057	
ENSG00000157077	9372	
ENSG00000157111	134285	
ENSG00000157193	7804	
ENSG00000157315	146456	
ENSG00000157343	221481	
ENSG00000157456	9133	
ENSG00000157470	145773	
ENSG00000157502	139221	
ENSG00000157578	150082	
ENSG00000157778	84262	
ENSG00000157837	121665	
ENSG00000157895	64897	
ENSG00000157927	55698	
ENSG00000157933	6497	
ENSG00000157954	26100	
ENSG00000158077	338323	
ENSG00000158816	127731	
ENSG00000159055	54069	
ENSG00000159079	56683	
